Wochentag, Datum,Start,Ende,Stunde(n),Summe
Dienstag, 26. April 2011,18:50,20:05,01:15,
Freitag, 6. Mai 2011,09:25,11:06,01:41,
Freitag, 6. Mai 2011,19:40,20:45,01:05,
Donnerstag, 12. Mai 2011,17:30,18:40,01:10,
Donnerstag, 12. Mai 2011,12:02,13:04,01:02,
Freitag, 13. Mai 2011,18:10,19:40,01:30,
Montag, 16. Mai 2011,19:26,19:56,00:30,
Dienstag, 17. Mai 2011,16:02,17:35,01:33,
Dienstag, 17. Mai 2011,21:51,22:35,00:44,
Mittwoch, 18. Februar 2013,17:15,18:43,01:28,
Donnerstag, 22. Mai 2015,19:12,20:00,00:48,
Samstag, 21. Mai 2011,21:12,22:23,01:11,
Dienstag, 24. Mai 2011,15:20,16:39,01:19,
Dienstag, 24. Mai 2011,20:20,21:05,00:45,
Mittwoch, 25. Mai 2011,19:15,20:15,01:00,
Donnerstag, 26. Mai 2011,12:00,13:30,01:30,
Freitag, 27. Mai 2011,16:05,17:26,01:21,
Donnerstag, 2. Juni 2011,15:25,17:36,02:11,22:03
